Calculator Type,JID,Surface,Surface Energy (J/m^2)
alignn_ff,JVASP-819,"surface_energy for JVASP-819 with indices [0, 0, 1]",0.046634896
chgnet,JVASP-819,"surface_energy for JVASP-819 with indices [0, 0, 1]",0.081008122
mace,JVASP-819,"surface_energy for JVASP-819 with indices [0, 0, 1]",0.010538977
sevennet,JVASP-819,"surface_energy for JVASP-819 with indices [0, 0, 1]",0.092113033
matgl,JVASP-819,"surface_energy for JVASP-819 with indices [0, 0, 1]",0.043776567
alignn_ff,JVASP-819,"surface_energy for JVASP-819 with indices [0, 1, 0]",0.046634896
chgnet,JVASP-819,"surface_energy for JVASP-819 with indices [0, 1, 0]",0.081008365
mace,JVASP-819,"surface_energy for JVASP-819 with indices [0, 1, 0]",0.010538977
sevennet,JVASP-819,"surface_energy for JVASP-819 with indices [0, 1, 0]",0.092113033
matgl,JVASP-819,"surface_energy for JVASP-819 with indices [0, 1, 0]",0.03991087
alignn_ff,JVASP-819,"surface_energy for JVASP-819 with indices [0, 1, 1]",0.040502928
chgnet,JVASP-819,"surface_energy for JVASP-819 with indices [0, 1, 1]",0.072213328
mace,JVASP-819,"surface_energy for JVASP-819 with indices [0, 1, 1]",0.007022509
sevennet,JVASP-819,"surface_energy for JVASP-819 with indices [0, 1, 1]",0.089525862
matgl,JVASP-819,"surface_energy for JVASP-819 with indices [0, 1, 1]",0.032792224
alignn_ff,JVASP-819,"surface_energy for JVASP-819 with indices [1, 0, 0]",0.046634896
chgnet,JVASP-819,"surface_energy for JVASP-819 with indices [1, 0, 0]",0.08100788
mace,JVASP-819,"surface_energy for JVASP-819 with indices [1, 0, 0]",0.010538977
sevennet,JVASP-819,"surface_energy for JVASP-819 with indices [1, 0, 0]",0.092113033
matgl,JVASP-819,"surface_energy for JVASP-819 with indices [1, 0, 0]",0.054410493
alignn_ff,JVASP-819,"surface_energy for JVASP-819 with indices [1, 1, 0]",0.040504594
chgnet,JVASP-819,"surface_energy for JVASP-819 with indices [1, 1, 0]",0.072213466
mace,JVASP-819,"surface_energy for JVASP-819 with indices [1, 1, 0]",0.007022509
sevennet,JVASP-819,"surface_energy for JVASP-819 with indices [1, 1, 0]",0.089525664
matgl,JVASP-819,"surface_energy for JVASP-819 with indices [1, 1, 0]",0.032792224
alignn_ff,JVASP-819,"surface_energy for JVASP-819 with indices [1, 1, 1]",0.030397723
chgnet,JVASP-819,"surface_energy for JVASP-819 with indices [1, 1, 1]",0.062634671
mace,JVASP-819,"surface_energy for JVASP-819 with indices [1, 1, 1]",0.005732493
sevennet,JVASP-819,"surface_energy for JVASP-819 with indices [1, 1, 1]",0.061717881
matgl,JVASP-819,"surface_energy for JVASP-819 with indices [1, 1, 1]",0.031175351
alignn_ff,JVASP-825,"surface_energy for JVASP-825 with indices [0, 0, 1]",-0.864596761
chgnet,JVASP-825,"surface_energy for JVASP-825 with indices [0, 0, 1]",0.437953978
mace,JVASP-825,"surface_energy for JVASP-825 with indices [0, 0, 1]",0.855234666
sevennet,JVASP-825,"surface_energy for JVASP-825 with indices [0, 0, 1]",0.899487792
matgl,JVASP-825,"surface_energy for JVASP-825 with indices [0, 0, 1]",0.297180858
alignn_ff,JVASP-825,"surface_energy for JVASP-825 with indices [0, 1, 0]",-0.864595832
chgnet,JVASP-825,"surface_energy for JVASP-825 with indices [0, 1, 0]",0.437953978
mace,JVASP-825,"surface_energy for JVASP-825 with indices [0, 1, 0]",0.855234666
sevennet,JVASP-825,"surface_energy for JVASP-825 with indices [0, 1, 0]",0.899483814
matgl,JVASP-825,"surface_energy for JVASP-825 with indices [0, 1, 0]",0.296588891
alignn_ff,JVASP-825,"surface_energy for JVASP-825 with indices [0, 1, 1]",-0.604672388
chgnet,JVASP-825,"surface_energy for JVASP-825 with indices [0, 1, 1]",0.454443376
mace,JVASP-825,"surface_energy for JVASP-825 with indices [0, 1, 1]",0.87123558
sevennet,JVASP-825,"surface_energy for JVASP-825 with indices [0, 1, 1]",0.865691554
matgl,JVASP-825,"surface_energy for JVASP-825 with indices [0, 1, 1]",0.324648916
alignn_ff,JVASP-825,"surface_energy for JVASP-825 with indices [1, 0, 0]",-0.864596296
chgnet,JVASP-825,"surface_energy for JVASP-825 with indices [1, 0, 0]",0.437953978
mace,JVASP-825,"surface_energy for JVASP-825 with indices [1, 0, 0]",0.855234666
sevennet,JVASP-825,"surface_energy for JVASP-825 with indices [1, 0, 0]",0.899487792
matgl,JVASP-825,"surface_energy for JVASP-825 with indices [1, 0, 0]",0.299088273
alignn_ff,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 0]",-0.604672724
chgnet,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 0]",0.454444382
mace,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 0]",0.87123558
sevennet,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 0]",0.865691554
matgl,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 0]",0.32459965
alignn_ff,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 1]",-0.703971288
chgnet,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 1]",0.35041345
mace,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 1]",0.631390881
sevennet,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 1]",0.604166081
matgl,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 1]",0.228413273
JARVIS,JVASP-825,"surface_energy for JVASP-825 with indices [1, 1, 1]",0.9
alignn_ff,JVASP-828,"surface_energy for JVASP-828 with indices [0, 0, 1]",4.60710971
chgnet,JVASP-828,"surface_energy for JVASP-828 with indices [0, 0, 1]",2.668436743
mace,JVASP-828,"surface_energy for JVASP-828 with indices [0, 0, 1]",3.455808256
sevennet,JVASP-828,"surface_energy for JVASP-828 with indices [0, 0, 1]",3.06516271
matgl,JVASP-828,"surface_energy for JVASP-828 with indices [0, 0, 1]",2.585625643
alignn_ff,JVASP-828,"surface_energy for JVASP-828 with indices [0, 1, 0]",2.395746291
chgnet,JVASP-828,"surface_energy for JVASP-828 with indices [0, 1, 0]",2.216329233
mace,JVASP-828,"surface_energy for JVASP-828 with indices [0, 1, 0]",2.628563633
sevennet,JVASP-828,"surface_energy for JVASP-828 with indices [0, 1, 0]",2.841384156
matgl,JVASP-828,"surface_energy for JVASP-828 with indices [0, 1, 0]",1.965286783
alignn_ff,JVASP-828,"surface_energy for JVASP-828 with indices [0, 1, 1]",1.863199331
chgnet,JVASP-828,"surface_energy for JVASP-828 with indices [0, 1, 1]",2.380003025
mace,JVASP-828,"surface_energy for JVASP-828 with indices [0, 1, 1]",2.841485221
sevennet,JVASP-828,"surface_energy for JVASP-828 with indices [0, 1, 1]",3.064244033
matgl,JVASP-828,"surface_energy for JVASP-828 with indices [0, 1, 1]",1.97391444
alignn_ff,JVASP-828,"surface_energy for JVASP-828 with indices [1, 0, 0]",2.395736815
chgnet,JVASP-828,"surface_energy for JVASP-828 with indices [1, 0, 0]",2.216305308
mace,JVASP-828,"surface_energy for JVASP-828 with indices [1, 0, 0]",2.628571659
sevennet,JVASP-828,"surface_energy for JVASP-828 with indices [1, 0, 0]",2.84137616
matgl,JVASP-828,"surface_energy for JVASP-828 with indices [1, 0, 0]",1.968276614
alignn_ff,JVASP-828,"surface_energy for JVASP-828 with indices [1, 1, 0]",0.947685868
chgnet,JVASP-828,"surface_energy for JVASP-828 with indices [1, 1, 0]",1.869873232
mace,JVASP-828,"surface_energy for JVASP-828 with indices [1, 1, 0]",2.384759075
sevennet,JVASP-828,"surface_energy for JVASP-828 with indices [1, 1, 0]",2.673642551
matgl,JVASP-828,"surface_energy for JVASP-828 with indices [1, 1, 0]",1.567763299
alignn_ff,JVASP-828,"surface_energy for JVASP-828 with indices [1, 1, 1]",0.82555731
chgnet,JVASP-828,"surface_energy for JVASP-828 with indices [1, 1, 1]",2.068386846
mace,JVASP-828,"surface_energy for JVASP-828 with indices [1, 1, 1]",2.517438834
sevennet,JVASP-828,"surface_energy for JVASP-828 with indices [1, 1, 1]",2.821537083
matgl,JVASP-828,"surface_energy for JVASP-828 with indices [1, 1, 1]",1.782243388
alignn_ff,JVASP-837,"surface_energy for JVASP-837 with indices [0, 0, 1]",0.295160873
chgnet,JVASP-837,"surface_energy for JVASP-837 with indices [0, 0, 1]",0.33087269
mace,JVASP-837,"surface_energy for JVASP-837 with indices [0, 0, 1]",0.30227978
sevennet,JVASP-837,"surface_energy for JVASP-837 with indices [0, 0, 1]",0.159764986
matgl,JVASP-837,"surface_energy for JVASP-837 with indices [0, 0, 1]",0.119068239
JARVIS,JVASP-837,"surface_energy for JVASP-837 with indices [0, 0, 1]",0.65
alignn_ff,JVASP-837,"surface_energy for JVASP-837 with indices [0, 1, 0]",0.30398007
chgnet,JVASP-837,"surface_energy for JVASP-837 with indices [0, 1, 0]",0.224493531
mace,JVASP-837,"surface_energy for JVASP-837 with indices [0, 1, 0]",0.242559266
sevennet,JVASP-837,"surface_energy for JVASP-837 with indices [0, 1, 0]",0.203442047
matgl,JVASP-837,"surface_energy for JVASP-837 with indices [0, 1, 0]",0.042446879
alignn_ff,JVASP-837,"surface_energy for JVASP-837 with indices [0, 1, 1]",0.239693466
chgnet,JVASP-837,"surface_energy for JVASP-837 with indices [0, 1, 1]",0.166882173
mace,JVASP-837,"surface_energy for JVASP-837 with indices [0, 1, 1]",0.199653974
sevennet,JVASP-837,"surface_energy for JVASP-837 with indices [0, 1, 1]",0.18861624
matgl,JVASP-837,"surface_energy for JVASP-837 with indices [0, 1, 1]",0.001380995
alignn_ff,JVASP-837,"surface_energy for JVASP-837 with indices [1, 0, 0]",0.303977623
chgnet,JVASP-837,"surface_energy for JVASP-837 with indices [1, 0, 0]",0.224493106
mace,JVASP-837,"surface_energy for JVASP-837 with indices [1, 0, 0]",0.242559266
sevennet,JVASP-837,"surface_energy for JVASP-837 with indices [1, 0, 0]",0.203442047
matgl,JVASP-837,"surface_energy for JVASP-837 with indices [1, 0, 0]",0.042451845
alignn_ff,JVASP-837,"surface_energy for JVASP-837 with indices [1, 1, 0]",0.150637769
chgnet,JVASP-837,"surface_energy for JVASP-837 with indices [1, 1, 0]",0.11314306
mace,JVASP-837,"surface_energy for JVASP-837 with indices [1, 1, 0]",0.200377396
sevennet,JVASP-837,"surface_energy for JVASP-837 with indices [1, 1, 0]",0.167626234
matgl,JVASP-837,"surface_energy for JVASP-837 with indices [1, 1, 0]",-0.020014883
alignn_ff,JVASP-837,"surface_energy for JVASP-837 with indices [1, 1, 1]",0.170748378
chgnet,JVASP-837,"surface_energy for JVASP-837 with indices [1, 1, 1]",0.142087843
mace,JVASP-837,"surface_energy for JVASP-837 with indices [1, 1, 1]",0.225604741
sevennet,JVASP-837,"surface_energy for JVASP-837 with indices [1, 1, 1]",0.191864397
matgl,JVASP-837,"surface_energy for JVASP-837 with indices [1, 1, 1]",0.027742836
alignn_ff,JVASP-840,"surface_energy for JVASP-840 with indices [0, 0, 1]",0.715623644
chgnet,JVASP-840,"surface_energy for JVASP-840 with indices [0, 0, 1]",0.221231142
mace,JVASP-840,"surface_energy for JVASP-840 with indices [0, 0, 1]",0.96116489
sevennet,JVASP-840,"surface_energy for JVASP-840 with indices [0, 0, 1]",0.277144497
matgl,JVASP-840,"surface_energy for JVASP-840 with indices [0, 0, 1]",0.896227049
alignn_ff,JVASP-840,"surface_energy for JVASP-840 with indices [0, 1, 0]",0.181048301
chgnet,JVASP-840,"surface_energy for JVASP-840 with indices [0, 1, 0]",0.105858189
mace,JVASP-840,"surface_energy for JVASP-840 with indices [0, 1, 0]",2.191724596
sevennet,JVASP-840,"surface_energy for JVASP-840 with indices [0, 1, 0]",0.136553294
matgl,JVASP-840,"surface_energy for JVASP-840 with indices [0, 1, 0]",0.423594415
alignn_ff,JVASP-840,"surface_energy for JVASP-840 with indices [0, 1, 1]",0.493116242
chgnet,JVASP-840,"surface_energy for JVASP-840 with indices [0, 1, 1]",0.105170847
mace,JVASP-840,"surface_energy for JVASP-840 with indices [0, 1, 1]",1.374132998
sevennet,JVASP-840,"surface_energy for JVASP-840 with indices [0, 1, 1]",0.141467225
matgl,JVASP-840,"surface_energy for JVASP-840 with indices [0, 1, 1]",0.517960398
alignn_ff,JVASP-840,"surface_energy for JVASP-840 with indices [1, 0, 0]",0.372266411
chgnet,JVASP-840,"surface_energy for JVASP-840 with indices [1, 0, 0]",0.153540956
mace,JVASP-840,"surface_energy for JVASP-840 with indices [1, 0, 0]",0.588088164
sevennet,JVASP-840,"surface_energy for JVASP-840 with indices [1, 0, 0]",0.305392089
matgl,JVASP-840,"surface_energy for JVASP-840 with indices [1, 0, 0]",0.455856646
alignn_ff,JVASP-840,"surface_energy for JVASP-840 with indices [1, 1, 0]",0.369117584
chgnet,JVASP-840,"surface_energy for JVASP-840 with indices [1, 1, 0]",0.123704085
mace,JVASP-840,"surface_energy for JVASP-840 with indices [1, 1, 0]",0.360184532
sevennet,JVASP-840,"surface_energy for JVASP-840 with indices [1, 1, 0]",0.231731929
matgl,JVASP-840,"surface_energy for JVASP-840 with indices [1, 1, 0]",0.114884302
alignn_ff,JVASP-840,"surface_energy for JVASP-840 with indices [1, 1, 1]",0.250402568
chgnet,JVASP-840,"surface_energy for JVASP-840 with indices [1, 1, 1]",0.058087779
mace,JVASP-840,"surface_energy for JVASP-840 with indices [1, 1, 1]",0.24770893
sevennet,JVASP-840,"surface_energy for JVASP-840 with indices [1, 1, 1]",0.17389902
matgl,JVASP-840,"surface_energy for JVASP-840 with indices [1, 1, 1]",0.322134445
alignn_ff,JVASP-858,"surface_energy for JVASP-858 with indices [0, 0, 1]",0.532604051
chgnet,JVASP-858,"surface_energy for JVASP-858 with indices [0, 0, 1]",1.409303766
mace,JVASP-858,"surface_energy for JVASP-858 with indices [0, 0, 1]",2.080514316
sevennet,JVASP-858,"surface_energy for JVASP-858 with indices [0, 0, 1]",1.919381566
matgl,JVASP-858,"surface_energy for JVASP-858 with indices [0, 0, 1]",1.256420638
JARVIS,JVASP-858,"surface_energy for JVASP-858 with indices [0, 0, 1]",3.49
alignn_ff,JVASP-858,"surface_energy for JVASP-858 with indices [0, 1, 0]",0.29833957
chgnet,JVASP-858,"surface_energy for JVASP-858 with indices [0, 1, 0]",1.486007492
mace,JVASP-858,"surface_energy for JVASP-858 with indices [0, 1, 0]",2.151651491
sevennet,JVASP-858,"surface_energy for JVASP-858 with indices [0, 1, 0]",2.078742109
matgl,JVASP-858,"surface_energy for JVASP-858 with indices [0, 1, 0]",1.37714688
alignn_ff,JVASP-858,"surface_energy for JVASP-858 with indices [0, 1, 1]",0.248185398
chgnet,JVASP-858,"surface_energy for JVASP-858 with indices [0, 1, 1]",1.972461218
mace,JVASP-858,"surface_energy for JVASP-858 with indices [0, 1, 1]",2.58132709
sevennet,JVASP-858,"surface_energy for JVASP-858 with indices [0, 1, 1]",2.682206046
matgl,JVASP-858,"surface_energy for JVASP-858 with indices [0, 1, 1]",2.222784336
alignn_ff,JVASP-858,"surface_energy for JVASP-858 with indices [1, 0, 0]",0.298341426
chgnet,JVASP-858,"surface_energy for JVASP-858 with indices [1, 0, 0]",1.486007492
mace,JVASP-858,"surface_energy for JVASP-858 with indices [1, 0, 0]",2.151651491
sevennet,JVASP-858,"surface_energy for JVASP-858 with indices [1, 0, 0]",2.078736493
matgl,JVASP-858,"surface_energy for JVASP-858 with indices [1, 0, 0]",1.37806268
alignn_ff,JVASP-858,"surface_energy for JVASP-858 with indices [1, 1, 0]",-0.144436691
chgnet,JVASP-858,"surface_energy for JVASP-858 with indices [1, 1, 0]",1.856063521
mace,JVASP-858,"surface_energy for JVASP-858 with indices [1, 1, 0]",2.439766076
sevennet,JVASP-858,"surface_energy for JVASP-858 with indices [1, 1, 0]",2.370211289
matgl,JVASP-858,"surface_energy for JVASP-858 with indices [1, 1, 0]",1.872526862
alignn_ff,JVASP-858,"surface_energy for JVASP-858 with indices [1, 1, 1]",0.048663208
chgnet,JVASP-858,"surface_energy for JVASP-858 with indices [1, 1, 1]",1.891438887
mace,JVASP-858,"surface_energy for JVASP-858 with indices [1, 1, 1]",2.402772578
sevennet,JVASP-858,"surface_energy for JVASP-858 with indices [1, 1, 1]",2.544057339
matgl,JVASP-858,"surface_energy for JVASP-858 with indices [1, 1, 1]",1.988321617
sevennet,JVASP-861,"surface_energy for JVASP-861 with indices [0, 0, 1]",2.893738719
alignn_ff,JVASP-861,"surface_energy for JVASP-861 with indices [0, 0, 1]",-4.347358743
chgnet,JVASP-861,"surface_energy for JVASP-861 with indices [0, 0, 1]",2.761061869
mace,JVASP-861,"surface_energy for JVASP-861 with indices [0, 0, 1]",3.876663177
matgl,JVASP-861,"surface_energy for JVASP-861 with indices [0, 0, 1]",2.207378748
sevennet,JVASP-861,"surface_energy for JVASP-861 with indices [0, 1, 0]",2.893738719
alignn_ff,JVASP-861,"surface_energy for JVASP-861 with indices [0, 1, 0]",-4.347358743
chgnet,JVASP-861,"surface_energy for JVASP-861 with indices [0, 1, 0]",2.761061869
mace,JVASP-861,"surface_energy for JVASP-861 with indices [0, 1, 0]",3.876663177
matgl,JVASP-861,"surface_energy for JVASP-861 with indices [0, 1, 0]",2.207378748
sevennet,JVASP-861,"surface_energy for JVASP-861 with indices [0, 1, 1]",2.679804915
alignn_ff,JVASP-861,"surface_energy for JVASP-861 with indices [0, 1, 1]",-0.734614213
chgnet,JVASP-861,"surface_energy for JVASP-861 with indices [0, 1, 1]",2.465707262
mace,JVASP-861,"surface_energy for JVASP-861 with indices [0, 1, 1]",3.673143193
matgl,JVASP-861,"surface_energy for JVASP-861 with indices [0, 1, 1]",1.896018247
sevennet,JVASP-861,"surface_energy for JVASP-861 with indices [1, 0, 0]",2.893738719
alignn_ff,JVASP-861,"surface_energy for JVASP-861 with indices [1, 0, 0]",-4.347358743
chgnet,JVASP-861,"surface_energy for JVASP-861 with indices [1, 0, 0]",2.761061869
mace,JVASP-861,"surface_energy for JVASP-861 with indices [1, 0, 0]",3.876663177
matgl,JVASP-861,"surface_energy for JVASP-861 with indices [1, 0, 0]",2.207378748
sevennet,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 0]",2.679804915
alignn_ff,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 0]",-0.734622961
chgnet,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 0]",2.465706994
mace,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 0]",3.673143193
matgl,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 0]",1.896137851
JARVIS,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 0]",3.31
sevennet,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 1]",3.090916684
alignn_ff,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 1]",-2.328858594
chgnet,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 1]",3.099188964
mace,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 1]",3.728963237
matgl,JVASP-861,"surface_energy for JVASP-861 with indices [1, 1, 1]",2.484518114
sevennet,JVASP-867,"surface_energy for JVASP-867 with indices [0, 0, 1]",1.497581818
chgnet,JVASP-867,"surface_energy for JVASP-867 with indices [0, 0, 1]",1.012008705
mace,JVASP-867,"surface_energy for JVASP-867 with indices [0, 0, 1]",1.516397243
alignn_ff,JVASP-867,"surface_energy for JVASP-867 with indices [0, 0, 1]",-0.442263758
matgl,JVASP-867,"surface_energy for JVASP-867 with indices [0, 0, 1]",0.879372579
JARVIS,JVASP-867,"surface_energy for JVASP-867 with indices [0, 0, 1]",1.47
sevennet,JVASP-867,"surface_energy for JVASP-867 with indices [0, 1, 0]",1.497581818
chgnet,JVASP-867,"surface_energy for JVASP-867 with indices [0, 1, 0]",1.012011244
mace,JVASP-867,"surface_energy for JVASP-867 with indices [0, 1, 0]",1.516399775
alignn_ff,JVASP-867,"surface_energy for JVASP-867 with indices [0, 1, 0]",-0.435476544
matgl,JVASP-867,"surface_energy for JVASP-867 with indices [0, 1, 0]",0.879761593
sevennet,JVASP-867,"surface_energy for JVASP-867 with indices [0, 1, 1]",1.593746585
chgnet,JVASP-867,"surface_energy for JVASP-867 with indices [0, 1, 1]",1.12427832
mace,JVASP-867,"surface_energy for JVASP-867 with indices [0, 1, 1]",1.581512999
alignn_ff,JVASP-867,"surface_energy for JVASP-867 with indices [0, 1, 1]",-1.084315421
matgl,JVASP-867,"surface_energy for JVASP-867 with indices [0, 1, 1]",1.013249563
sevennet,JVASP-867,"surface_energy for JVASP-867 with indices [1, 0, 0]",1.497581818
chgnet,JVASP-867,"surface_energy for JVASP-867 with indices [1, 0, 0]",1.012008705
mace,JVASP-867,"surface_energy for JVASP-867 with indices [1, 0, 0]",1.516397243
alignn_ff,JVASP-867,"surface_energy for JVASP-867 with indices [1, 0, 0]",-0.682621674
matgl,JVASP-867,"surface_energy for JVASP-867 with indices [1, 0, 0]",0.879842439
sevennet,JVASP-867,"surface_energy for JVASP-867 with indices [1, 1, 0]",1.59374213
chgnet,JVASP-867,"surface_energy for JVASP-867 with indices [1, 1, 0]",1.124279644
mace,JVASP-867,"surface_energy for JVASP-867 with indices [1, 1, 0]",1.581511244
alignn_ff,JVASP-867,"surface_energy for JVASP-867 with indices [1, 1, 0]",-1.084313188
matgl,JVASP-867,"surface_energy for JVASP-867 with indices [1, 1, 0]",1.013393907
sevennet,JVASP-867,"surface_energy for JVASP-867 with indices [1, 1, 1]",1.313378698
chgnet,JVASP-867,"surface_energy for JVASP-867 with indices [1, 1, 1]",0.831667904
mace,JVASP-867,"surface_energy for JVASP-867 with indices [1, 1, 1]",1.309621071
alignn_ff,JVASP-867,"surface_energy for JVASP-867 with indices [1, 1, 1]",0.155689593
matgl,JVASP-867,"surface_energy for JVASP-867 with indices [1, 1, 1]",0.725183319
alignn_ff,JVASP-890,"surface_energy for JVASP-890 with indices [0, 0, 1]",1.303541205
sevennet,JVASP-890,"surface_energy for JVASP-890 with indices [0, 0, 1]",1.112846669
chgnet,JVASP-890,"surface_energy for JVASP-890 with indices [0, 0, 1]",0.697701213
mace,JVASP-890,"surface_energy for JVASP-890 with indices [0, 0, 1]",0.810997544
matgl,JVASP-890,"surface_energy for JVASP-890 with indices [0, 0, 1]",1.158345291
alignn_ff,JVASP-890,"surface_energy for JVASP-890 with indices [0, 1, 0]",1.303541688
sevennet,JVASP-890,"surface_energy for JVASP-890 with indices [0, 1, 0]",1.112846669
chgnet,JVASP-890,"surface_energy for JVASP-890 with indices [0, 1, 0]",0.697701213
mace,JVASP-890,"surface_energy for JVASP-890 with indices [0, 1, 0]",0.810997544
matgl,JVASP-890,"surface_energy for JVASP-890 with indices [0, 1, 0]",1.157149735
alignn_ff,JVASP-890,"surface_energy for JVASP-890 with indices [0, 1, 1]",0.79294917
sevennet,JVASP-890,"surface_energy for JVASP-890 with indices [0, 1, 1]",0.749775917
chgnet,JVASP-890,"surface_energy for JVASP-890 with indices [0, 1, 1]",0.393278934
mace,JVASP-890,"surface_energy for JVASP-890 with indices [0, 1, 1]",0.65253185
matgl,JVASP-890,"surface_energy for JVASP-890 with indices [0, 1, 1]",0.435250556
alignn_ff,JVASP-890,"surface_energy for JVASP-890 with indices [1, 0, 0]",1.303542171
sevennet,JVASP-890,"surface_energy for JVASP-890 with indices [1, 0, 0]",1.112846669
chgnet,JVASP-890,"surface_energy for JVASP-890 with indices [1, 0, 0]",0.697701213
mace,JVASP-890,"surface_energy for JVASP-890 with indices [1, 0, 0]",0.810993852
matgl,JVASP-890,"surface_energy for JVASP-890 with indices [1, 0, 0]",1.157530288
alignn_ff,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 0]",0.792949512
sevennet,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 0]",0.749775917
chgnet,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 0]",0.393275392
mace,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 0]",0.652530699
matgl,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 0]",0.435948432
alignn_ff,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 1]",0.721602973
sevennet,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 1]",0.582643553
chgnet,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 1]",0.318807258
mace,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 1]",0.477111101
matgl,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 1]",0.314182356
JARVIS,JVASP-890,"surface_energy for JVASP-890 with indices [1, 1, 1]",0.99
alignn_ff,JVASP-895,"surface_energy for JVASP-895 with indices [0, 0, 1]",0.283104374
chgnet,JVASP-895,"surface_energy for JVASP-895 with indices [0, 0, 1]",0.414638372
mace,JVASP-895,"surface_energy for JVASP-895 with indices [0, 0, 1]",0.494047991
sevennet,JVASP-895,"surface_energy for JVASP-895 with indices [0, 0, 1]",0.225134982
matgl,JVASP-895,"surface_energy for JVASP-895 with indices [0, 0, 1]",0.357340477
alignn_ff,JVASP-895,"surface_energy for JVASP-895 with indices [0, 1, 0]",0.070355568
chgnet,JVASP-895,"surface_energy for JVASP-895 with indices [0, 1, 0]",0.307725523
mace,JVASP-895,"surface_energy for JVASP-895 with indices [0, 1, 0]",0.34019712
sevennet,JVASP-895,"surface_energy for JVASP-895 with indices [0, 1, 0]",0.176891603
matgl,JVASP-895,"surface_energy for JVASP-895 with indices [0, 1, 0]",0.13289882
alignn_ff,JVASP-895,"surface_energy for JVASP-895 with indices [0, 1, 1]",0.406861333
chgnet,JVASP-895,"surface_energy for JVASP-895 with indices [0, 1, 1]",0.229408764
mace,JVASP-895,"surface_energy for JVASP-895 with indices [0, 1, 1]",0.764149912
sevennet,JVASP-895,"surface_energy for JVASP-895 with indices [0, 1, 1]",0.130703029
matgl,JVASP-895,"surface_energy for JVASP-895 with indices [0, 1, 1]",0.186748047
alignn_ff,JVASP-895,"surface_energy for JVASP-895 with indices [1, 0, 0]",0.461800447
chgnet,JVASP-895,"surface_energy for JVASP-895 with indices [1, 0, 0]",0.263809876
mace,JVASP-895,"surface_energy for JVASP-895 with indices [1, 0, 0]",0.285402214
sevennet,JVASP-895,"surface_energy for JVASP-895 with indices [1, 0, 0]",0.223048851
matgl,JVASP-895,"surface_energy for JVASP-895 with indices [1, 0, 0]",0.210258129
alignn_ff,JVASP-895,"surface_energy for JVASP-895 with indices [1, 1, 0]",0.257911659
chgnet,JVASP-895,"surface_energy for JVASP-895 with indices [1, 1, 0]",0.118026018
mace,JVASP-895,"surface_energy for JVASP-895 with indices [1, 1, 0]",0.157256094
sevennet,JVASP-895,"surface_energy for JVASP-895 with indices [1, 1, 0]",0.159852172
matgl,JVASP-895,"surface_energy for JVASP-895 with indices [1, 1, 0]",0.183372349
alignn_ff,JVASP-895,"surface_energy for JVASP-895 with indices [1, 1, 1]",0.302995893
chgnet,JVASP-895,"surface_energy for JVASP-895 with indices [1, 1, 1]",0.122606635
mace,JVASP-895,"surface_energy for JVASP-895 with indices [1, 1, 1]",0.094202219
sevennet,JVASP-895,"surface_energy for JVASP-895 with indices [1, 1, 1]",0.155501614
matgl,JVASP-895,"surface_energy for JVASP-895 with indices [1, 1, 1]",0.202992223
chgnet,JVASP-901,"surface_energy for JVASP-901 with indices [0, 0, 1]",1.938691296
mace,JVASP-901,"surface_energy for JVASP-901 with indices [0, 0, 1]",2.414797882
sevennet,JVASP-901,"surface_energy for JVASP-901 with indices [0, 0, 1]",2.569319773
matgl,JVASP-901,"surface_energy for JVASP-901 with indices [0, 0, 1]",1.17030465
chgnet,JVASP-901,"surface_energy for JVASP-901 with indices [0, 1, 0]",1.93859928
